s_no,start,end,file,t_0,t_1,toa,snr
882,1246528576,1246529088,[97],0.016533,0.051574,209.588135,12.087201
883,1246529024,1246529536,[97],0.021094,0.073744,341.460205,10.523077
884,1246529472,1246529984,[97],0.019542,0.04574,245.59082,10.725145
885,1246529920,1246530432,[97],9e-05,0.034395,96.479004,10.566707
886,1246530368,1246530880,[97],6.1e-05,0.006391,328.188721,320.076198
887,1246530816,1246531328,[97],0.00017,0.039381,309.224365,2399.562112
888,1246531264,1246531776,"[97,98]",0.015836,0.047837,125.626953,22.395511
889,1246531712,1246532224,[98],0.061521,0.123841,358.578613,858.748617
890,1246532160,1246532672,[98],0.000182,0.07705,252.831299,1015.236455
892,1246533056,1246533568,[98],0.004895,0.023781,206.999512,49.506394
895,1246534400,1246534912,[98],7.5e-05,0.026528,119.718506,1836.678874
897,1246535296,1246535808,"[98,99]",0.0317,0.087446,195.843018,130.709018
899,1246536192,1246536704,[99],0.000132,0.077825,166.26709,32.600229
901,1246537088,1246537600,[99],7.1e-05,0.054611,186.550293,1139.618551
902,1246537536,1246538048,[99],0.073041,0.07026,0.249268,130.734464
903,1246537984,1246538496,[99],0.000317,0.017654,146.99292,24.106457
904,1246538432,1246538944,[99],0.038906,0.108516,404.732666,303.410076
906,1246539328,1246539840,"[99,100]",0.04071,0.089322,383.573242,249.041356
907,1246539776,1246540288,[100],0.161818,0.310103,426.294922,15.03069
908,1246540224,1246540736,[100],0.072024,0.132403,309.085449,800.342832
909,1246540672,1246541184,[100],0.0002,0.080865,404.976074,9.895801
910,1246541120,1246541632,[100],0.026827,0.064915,441.475586,455.398149
912,1246542016,1246542528,[100],0.007291,0.067454,83.151123,9.624826
914,1246542912,1246543424,[100],0.047146,0.069517,194.022461,9.592664
916,1260441600,1260442112,[101],0.013488,0.032433,132.553955,16.362241
917,1260442048,1260442560,[101],0.126137,0.245105,71.27417,10.542289
918,1260442496,1260443008,[101],0.000143,0.011504,421.146973,56.777416
919,1260442944,1260443456,[101],0.018177,0.036151,378.684326,20.684979
920,1260443392,1260443904,[101],0.001342,0.184327,337.633301,1227.638185
921,1260443840,1260444352,[101],0.071901,0.131605,336.034424,17.635898
922,1260444288,1260444800,[101],0.000226,0.063088,320.618164,326.593205
923,1260444736,1260445248,[101],0.00023,0.094822,425.37207,11115.049197
925,1260445632,1260446144,"[101,102]",0.028967,0.070531,47.539795,2573.05747
926,1260446080,1260446592,[102],0.001131,0.141518,1.901367,580.816482
928,1260446976,1260447488,[102],0.000627,0.204403,14.977051,75.196746
929,1260447424,1260447936,[102],9e-06,0.017809,194.741943,14.569111
932,1260448768,1260449280,[102],0.000156,0.096521,99.855957,26.953726
933,1260449216,1260449728,[102],0.000147,0.078784,312.450928,35.148439
934,1260449664,1260450176,"[102,103]",0.038787,0.082434,339.075195,23.064657
935,1260450112,1260450624,[103],0.000268,0.167458,375.248291,13.718466
936,1260450560,1260451072,[103],0.000808,0.014613,64.432129,1096.307119
938,1260451456,1260451968,[103],0.09227,0.144018,361.63501,19.653568
939,1260451904,1260452416,[103],0.000725,0.199516,352.876709,24.73975
940,1260452352,1260452864,[103],0.070239,0.153642,213.707764,11.064891
941,1260452800,1260453312,[103],0.000358,0.254881,72.528809,16.069759
942,1260453248,1260453760,[103],0.007562,0.035744,45.620605,18.104779
943,1260453696,1260454208,"[103,104]",0.258678,0.4165,388.510254,66.857865
944,1260454144,1260454656,[104],0.000535,0.088512,108.262939,114.677993
945,1260454592,1260455104,[104],0.030946,0.071998,149.665771,26.274262
946,1260455040,1260455552,[104],0.0026,0.005511,281.896729,10.594491
947,1260455488,1260456000,[104],0.000406,0.133689,199.357666,833.348689
948,1260455936,1260456448,[104],0.000613,0.021608,57.946045,10.256385
949,1260456384,1260456896,[104],0.000701,0.155894,230.036865,1848.742746
950,1260456832,1260457344,[104],0.006153,0.026539,101.751221,10.177436
951,1260457280,1260457792,[104],0.005752,0.029848,78.055176,35.717806
952,1260457728,1260458240,"[104,105]",0.000439,0.261341,116.448486,9.232605
953,1260458176,1260458688,[105],0.034566,0.043188,189.584473,3253.87805
954,1260458624,1260459136,[105],0.03055,0.071209,238.60083,37.398525
956,1260459520,1260460032,[105],0.007862,0.02545,6.273926,993.501734
957,1260459968,1260460480,[105],9.2e-05,0.061811,205.130127,19.888282
958,1260460416,1260460928,[105],0.000188,0.046576,387.704834,690.608263
961,1260461760,1260462272,"[105,106]",0.03539,0.089677,280.259521,816.084365
962,1260462208,1260462720,[106],0.000301,0.24453,314.063232,3000.660718
963,1260462656,1260463168,[106],0.09665,0.208886,144.203369,16.201826
964,1260463104,1260463616,[106],0.023562,0.050315,302.356689,126.93522
967,1260464448,1260464960,[106],0.144331,0.177383,342.44458,230.719978
969,1260465344,1260465856,[106],0.000114,0.00404,74.259766,3058.38274
970,1260465792,1260466304,"[106,107]",0.000533,0.133322,365.865234,46.569695
971,1260466240,1260466752,[107],0.000348,0.162186,279.438721,19.321443
973,1260467136,1260467648,[107],0.00035,0.170419,238.941162,11.161175
974,1260467584,1260468096,[107],0.000449,0.143971,194.317383,423.405356
976,1260468480,1260468992,[107],0.050788,0.09229,74.505859,717.767202
977,1260468928,1260469440,[107],9.4e-05,0.037677,340.418701,477.580981
979,1260469824,1260470336,"[107,108]",0.006745,0.030505,370.192139,15.843267
981,1260470720,1260471232,[108],0.031021,0.0599,396.26123,13.818059
982,1260471168,1260471680,[108],0.001057,0.144999,394.269531,126.068911
984,1260472064,1260472576,[108],0.0004,0.134249,47.851318,29.826306
986,1260472960,1260473472,[108],0.00035,0.191196,426.713135,13.239927
987,1260473408,1260473920,[108],9.1e-05,0.042888,188.407959,21.97026
989,1260474304,1260474816,"[108,109]",0.070873,0.079973,402.826172,808.1613
990,1260474752,1260475264,[109],0.000597,0.110248,268.165283,481.875376
992,1260475648,1260476160,[109],0.000173,0.015772,295.081787,10.723858
993,1260476096,1260476608,[109],0.00023,0.118811,190.051514,35.224883
994,1260476544,1260477056,[109],0.000159,0.030747,330.472168,53.467391
995,1260476992,1260477504,[109],0.000111,0.062604,422.748779,122.365638
996,1260477440,1260477952,[109],0.020458,0.053091,99.684814,612.962181
997,1260477888,1260478400,[109],0.001152,0.848553,177.359863,12.673442
999,1260478784,1260479296,[110],0.025815,0.059609,2.371338,6509.17505
1002,1260480128,1260480640,[110],0.019603,0.054243,179.210693,1484.443061
1003,1260480576,1260481088,[110],0.000188,0.076107,387.269287,19.741531
1004,1260481024,1260481536,[110],0.000197,0.09557,279.951416,65.213502
1005,1260481472,1260481984,[110],0.292184,0.74075,284.389648,11.012265
1006,1260481920,1260482432,[110],0.000275,0.061563,257.250977,62.22409
1007,1260482368,1260482880,"[110,111]",0.000185,0.049658,364.218262,78.598856
1013,1260485056,1260485568,[111],0.011034,0.064413,165.998779,1635.468284
1014,1260485504,1260486016,[111],0.038202,0.086581,285.760742,9.845449
1015,1260485952,1260486464,[111],0.017613,0.058638,426.883057,20.649896
1019,1260487744,1260488256,[112],0.019692,0.040083,385.878174,10.176591
1020,1260488192,1260488704,[112],0.023881,0.049532,144.903564,9.455311
1021,1260488640,1260489152,[112],0.000114,0.04044,51.320312,40.413525
1022,1260489088,1260489600,[112],3.9e-05,0.018489,373.09082,40.444112
1023,1260489536,1260490048,[112],0.000173,0.039699,278.131836,20.853641
1024,1260489984,1260490496,[112],0.00044,0.131042,162.911377,239.420634
1025,1260490432,1260490944,"[112,113]",0.000587,0.163339,172.413086,61.155847
1028,1260491776,1260492288,[113],0.000201,0.006568,145.004639,87.611979
1029,1260492224,1260492736,[113],0.098559,0.191899,126.498535,27.939419
1030,1260492672,1260493184,[113],0.006519,0.023582,302.233398,165.987162
1032,1260493568,1260494080,[113],0.010058,0.027694,218.242188,30.256038
1033,1260494016,1260494528,[113],0.000208,0.044321,108.213623,16.754465
1035,1260494912,1260495424,[114],0.013072,0.083639,145.415039,2829.205501
1036,1260495360,1260495872,[114],0.300783,0.611658,179.873047,12.550446
1041,1260497600,1260498112,[114],0.000718,0.113154,412.342529,1314.967192
1042,1260498048,1260498560,[114],0.000895,0.670537,402.89624,12.458612
1048,1260500736,1260501248,[115],0.000392,0.041548,194.275879,158.800412
1050,1260501632,1260502144,[115],0.001846,0.084991,6.754639,1171.184397
1052,1260502528,1260503040,[115],0.000212,0.064589,83.712402,276.361349
1054,1260503424,1260503936,[116],0.000154,0.057478,165.622314,45.626769
1055,1260503872,1260504384,[116],7.9e-05,0.025379,169.746338,2251.049309
1058,1260505216,1260505728,[116],0.119885,0.124015,136.019531,514.937643
1059,1260505664,1260506176,[116],0.031574,0.071448,245.20874,10.520046
1061,1260506560,1260507072,[116],0.00056,0.344606,189.922607,15.297509
1062,1260507008,1260507520,"[116,117]",0.131498,0.238864,109.921143,10.2465
1063,1260507456,1260507968,[117],0.000428,0.255529,308.517334,225.585545
1064,1260507904,1260508416,[117],0.000213,0.147664,239.435303,16.56734
1065,1260508352,1260508864,[117],0.000294,0.147025,43.481445,32.713307
1066,1260508800,1260509312,[117],0.002957,0.11426,237.60498,2054.077021
1067,1260509248,1260509760,[117],0.000696,0.161861,389.443848,697.074139
1068,1260509696,1260510208,[117],0.037353,0.091058,269.978271,17.251301
1069,1260510144,1260510656,[117],0.000536,0.344806,311.547363,24.37508
1070,1260510592,1260511104,[117],0.054468,0.104596,77.749268,22.354074
1071,1260511040,1260511552,"[117,118]",0.000398,0.084801,199.313477,422.38269
1073,1260511936,1260512448,[118],0.000372,0.269451,286.95874,11.683813
1074,1260512384,1260512896,[118],0.000164,0.105751,213.822998,16.045427
1075,1260512832,1260513344,[118],0.011344,0.028104,390.76001,24.908931
1076,1260513280,1260513792,[118],0.000782,0.146056,307.967041,827.035691
1077,1260513728,1260514240,[118],0.001158,0.261993,228.750977,817.774082
1078,1260514176,1260514688,[118],0.002989,0.068175,399.463867,1445.801536
1079,1260514624,1260515136,[118],0.030001,0.07339,316.99585,10.813722
1081,1260515520,1260516032,[119],0.067185,0.093231,374.628174,22.395534
1082,1260515968,1260516480,[119],0.05184,0.106965,302.561523,22.293169
1083,1260516416,1260516928,[119],0.076261,0.081518,74.302979,20.88863
1084,1260516864,1260517376,[119],0.000291,0.056451,286.404785,522.279595
1086,1260517760,1260518272,[119],0.001104,0.006682,317.011719,20.909317
1087,1260518208,1260518720,[119],0.000312,0.109858,334.013672,377.887489
1088,1260518656,1260519168,[119],0.009219,0.034283,319.389893,96.659409
1089,1260519104,1260519616,"[119,120]",0.061455,0.145246,414.327881,9.65224
1091,1260520000,1260520512,[120],7.6e-05,0.038172,145.991455,20.047531
1092,1260520448,1260520960,[120],8.2e-05,0.00423,348.424072,15.771422
1093,1260520896,1260521408,[120],0.078974,0.101241,213.309814,53.295988
1094,1260521344,1260521856,[120],0.000247,0.039491,294.267334,55.549671
1095,1260521792,1260522304,[120],0.000171,0.036002,302.492432,10.918348
1096,1260522240,1260522752,[120],0.090527,0.160242,447.924805,26.563542
1097,1260522688,1260523200,[120],0.00023,0.088261,330.206055,9.952938
1098,1260523136,1260523648,"[120,121]",0.050855,0.112835,289.170654,12.05476
1099,1260523584,1260524096,[121],0.00927,0.029937,405.844727,25.321725
1101,1260524480,1260524992,[121],5.9e-05,0.013338,36.754395,18.788125
1102,1260524928,1260525440,[121],0.060951,0.130214,375.793457,18.909961
1104,1260525824,1260526336,[121],0.000724,0.09888,14.604736,176.079018
1106,1260526720,1260527232,[121],0.496596,1.013882,327.799316,20.926341
1108,1260527616,1260528128,[122],0.000795,0.103906,50.004883,1705.51893
1109,1260528064,1260528576,[122],0.000389,0.134757,374.664551,537.873458
1110,1260528512,1260529024,[122],0.00065,0.007541,390.673096,152.003907
1111,1260528960,1260529472,[122],0.226449,0.391747,170.447998,11.833239
1112,1260529408,1260529920,[122],0.00105,0.094264,328.593262,1462.33168
1114,1260530304,1260530816,[122],0.000655,0.207135,75.950928,195.878183
1115,1260530752,1260531264,[122],0.001835,0.013059,413.045654,350.549889
1116,1260531200,1260531712,[122],0.000412,0.276952,16.937988,18.098562
1117,1260531648,1260532160,"[122,123]",0.009217,0.029294,118.295654,44.625109
1118,1260532096,1260532608,[123],0.004812,0.066321,68.200195,19.19171
1119,1260532544,1260533056,[123],0.000883,0.323879,348.872803,101.092087
1120,1260532992,1260533504,[123],0.000146,0.081999,207.942871,180.583953
1121,1260533440,1260533952,[123],0.002934,0.034082,270.859375,26.20839
1122,1260533888,1260534400,[123],0.000375,0.163431,132.526367,149.928257
1124,1260534784,1260535296,[123],0.017075,0.041666,62.138184,2313.493639
1125,1260535232,1260535744,[123],0.037696,0.077021,334.702393,34.708527
1128,1260536576,1260537088,[124],0.000229,0.139975,404.542236,13.526726
1129,1260537024,1260537536,[124],0.000841,0.164704,132.933105,13.021923
1130,1260537472,1260537984,[124],0.032429,0.078524,15.107178,9.462735
1131,1260537920,1260538432,[124],0.000817,0.004521,102.807861,9.988059
1132,1260538368,1260538880,[124],0.001342,0.1038,146.843018,758.361721
1134,1260539264,1260539776,[124],0.016531,0.046116,336.81958,469.273086
